content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
No se preocupe don sebastián.el error fue de nosotros los chilenos al haberlo elegido.,0.12,0,0.18,0.21,0.21,0.16,0.19,0,0,0.2,0,0,0.17,0,0.15,0,0.16,0,0.17,0
tuyo. no me metas a tusaco ( de w),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me sumo. No soy cómplice de tener a este nefasto personaje.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA MANGA DE CINICOS QLOOS ANDAN TODO EL DIA SIN MASCARILLA PERO COMO SALE PIÑERA SIN ELLA LOS FALITE DE MIIIERRDA SE ESPANTAN VAYANSE A LA CHU CHA DELINCUENTES QLOOOS,0.12,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1.15
"Recuerda que la otra opción era guillie, siempre votamos por el mal menor.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"De los chilenos lesos que lo eligieron, no se esconda en la masa.",0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
"El granuja, el pillo, el ladronzuelo, el especulador financiero, el peor de todos, el representante del 0.00000001 % hace lo quiere y cuando se le pare la R A J A luego se excusa, reconoce falsamente y aquí no ha pasado nada.",0,0,0.17,0.21,0,0,0,0,0,0,0.15,0,0,0.18,0.14,0.14,0.16,0.22,0.33,0.56
"Algunos de la muchedumbre que corrieron a saludarlo y pedirle fotos, dicen que lo reconocieron desde lejos por su ¨cabeza de ajo¨....",0.14,0,0,0.23,0,0,0,0,0,0.22,0,0.2,0,0.21,0,0.31,0.18,0,0.19,0
"Piñera cometio un error ahora, cometió un error cuando se fotografió en Plaza Italia, en otras palabras estamos gobernados por un tara...do!",0,0,0,0,0,0,0.4,0.23,0,0,0,0,0,0,0,0,0,0.22,0,0
"La otra vez comprandole copete ala vieja en cuarentena sin mascarillas,ahora en la playa sin mascarillas,eso se le olvida,pero para triangular con habitat,evadir pago de contribuciones,crear empresas falsas,criar hijos delincuentes,pucha que tiene memoria.",0,0.16,0.17,0,0,0,0.19,0,0,0,0.29,0,0,0.18,0.14,0.28,0,0.43,0.16,0.56
"pero siempre lo ha sido. y el 29% real que voto x el igual. menos mal que habemos un 71% normal, algunos flojos que no fueron a votar pero en fin, yo creo que aprendieron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
Franco te manda saludos desde su vaticarro.,0.15,0,0,0.25,0,0,0,0,0,0.24,0,0.22,0,0.23,0,0.17,0.2,0,0.2,0
Bracitos cortos tiene tan poca inteligencia que es realmente difícil comprender cómo pudo amasar su fortuna.,0,0.17,0,0.22,0.45,0.17,0,0,0,0,0.16,0,0.37,0,0.15,0,0.17,0,0.35,0.28
"algunos chilenos pagan sus errores con cárcel, otros con clases de ética, Piñera no paga nada, y nunca ha pagado nada .... PINOCHEQUES se fue sin pagar, esperemos que Piñera por lo menos tenga por lo bajo una reclusión nocturna, o algo que nos haga pensar al común de los mortales que en Chile, la justicia también despertó, aún que sea ilusionarse mucho, no pierdo la fe.",0.12,0,0.17,0.2,0.2,0.15,1.09,0,0.16,0.38,0.72,0,0.17,0.18,0,0.66,0.15,0.86,0.16,0
"A hecho su fortuna usando información privilegiada,el no crea empleos como los Matte,Angelini,Luksic,Piñera es un especulador de la bolsa y tiene todo un séquito detrás pendiente de las acciones,jamas a sabido lo que es dar empleo y tener una empresa con trabajadores.",0,0,0.17,0.2,0,0,0.18,0,0.16,0,0,0,0,0.18,0,0,0,0,0.16,0
"Porque en Chile, desde la llegada de los españoles, el crimen de paga...y muy bien.",0,0,0,0,0,0,0.2,0,0,0,0.15,0,0,0,0,0.15,0,0.22,0,0.29
En buen chileno... choriando.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
