content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
Guau cariño que divina estás sería genial no crees soy de la ciudad de México.❤️,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
"Tío Hermoso; Descansa en Paz, muchas gracias por tu cariño de tantos años, apenas hablamos el miércoles y no te sabía mal.…",0.16,0.21,0.23,0,0,0.21,0,0,0.23,0,0,0.24,0.23,0,0.39,0,0.21,0,0.44,0
"A propósito del reconocimiento a Quito en sus fiestas; recorrimos sus calles y sus plazas, compartimos con gente trabajadora y…",0,0,0,0.22,0.23,0,0,0,0,0,0.16,0,0,0.2,0,0,0,0,0,0
Tengo un cariño especial por Stray Kids pero no soy Stay Idk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independientemente de lo que alla pasado solo espero que dove este bien y si es que terminaron allan terminado bien por que el cariño que se tienen se nota de lejos,0.15,0,0.43,0.25,0.26,0,0.23,0.27,0.21,0,0,0,0,0,0,0,0.2,0,0.2,0
"(+) contrario, entrelazando sus dedos con cariño y cuidado.
No tenía palabras, pero debía decir algo... Abrió los labios para formular las palabras que le salían de lo más profundo de su ser.-
Me encantaría formar parte de esos bonitos recuerdos que tienes sobre estas (+)",0.12,0,0,0,0,0.15,0,0,0,0,0.29,0,0,0.18,0,0.13,0.15,0.21,0,0
"Desde el fondo de nuestros corazones💙❤️💙 junto a mi esposa, hijos y nietos les deseamos salud, progreso y prosperidad pa…",0.43,0,0.21,0.49,0.25,0,0.22,0,0,0.23,0.18,0.43,0.41,0.66,0.17,0.16,0.38,0.55,0.59,0
"Cuando decimos que Emilio es el mejor artista de México, lo decimos por cariño, pq el contó que eso se lo dice una persona m…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.23,0,0
"Amo y le cojo mucho cariño a las personas que naturalmente son frías pero no fallan en demostrarte su amor y lealtad, a…",0.12,0.16,0.17,0,0.4,0,0,0,0,0.19,0,0,0.17,0.18,0.14,0,0,0,0.16,0.27
"Como saben, soy cero futbolero.
Por mero cariño y fé, le aposté a mis pumas a que hicieran la hazaña despues de tremen…",0,0,0,0.2,0.21,0.16,0.19,0,0.16,0.2,0.15,0,0,0.18,0,0,0.16,0,0.16,0
"Tener una mascota, es tener un integrante más de la familia, necesitan cuidado, cariño y atención.
""Una mascota, no es un…",0.14,0.18,0.2,0.23,0.24,0.53,0.21,0.25,0.19,0.45,0.34,0.2,0.39,0.42,0,0,0.36,0,0.19,0
"Con cariño y respeto un abrazo afectuoso a la profesora Guillermina de la Torre, con motivo de su cumpleaños.
Felicid…",0,0.41,0.67,0.26,0.55,0.2,0.72,0.58,0.44,0.5,0.19,0.23,0,0.48,0.18,0.18,0.21,0,0,0
Estuvo imponente el Cierre de Campaña de los Candidatos y Candidatas de la Patria. Un contundente respaldo manifestado c…,0,0.17,0.18,0,0.22,0,0.2,0.24,0,0.21,0,0,0.18,0,0,0,0.17,0,0.17,0.27
con todo cariño!! Seguiremos tratando de hacer lo mejor posible. Un abrazo inmenso!,0,0,0,0,0.23,0,0.21,0,0.18,0,0,0,0,0.2,0.32,0,0.18,0.25,0,0
