content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
Perderán el alma por montar en avión,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.18,0,0,0
"PERO DE DONDE SON ESTOS MENONITAS? LOS DE COLOMBIA, TIENEN ELECTRICIDAD, TRACTORES, CAMIONETAS, MAQUINARIA ETC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Que interesante que estén viviendo en mi hermoso país Perú :),0,0,0,0.29,0,0,0.27,0,0,0.28,0,0,0,0.27,0,0,0,0,0,0
Lo que ocaciona la religión.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Por eso tienen tantos hijos, al tener tantas restricciones lo unico que les queda por hacer es "" chaca chaca"" o ""tracatra"" y ya 🤣🤣🤣",0,0.16,0,0.21,0,0.16,0.19,0.22,0,0,0.15,0,0.17,0,0.14,0,0.16,0,0,0
"Para vivir en el campo, no estar estresado con lo cotidiano de la vida moderna, están muy avejentados. No les envidio para nada esa vida.",0,0,0,0,0,0,0.19,0,0,0,0.3,0,0,0.38,0.15,0.28,0.16,0.46,0,0.54
Este grupo es de las peores sectas de las que he escuchado.,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
Que lastima de sociedades que viven en el pasado es como hablar de las tribus en el corazon de la jungla cada uno segun sus CONVENIENCIAS SOCIALES O SOCIOLOGICAS!!!,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.32,0
"Por favor, saquen la continuación de este documental está super interesante y queremos saber como le está yendo a esta familia en época de pandemia. Ojalá les esté yendo bien en Perú.",0,0.2,0.22,0.79,0.55,0.2,0.72,0,0,0.5,0.19,0,0,0.71,0,0.18,0.2,0,0,0
Los Menonas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no quieren del mundo mderno, pero tienen maquinas de cocer, alimentos envasados, utencilios de cocina de acero inox, algo esta muy raro.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creo que no se trata de resistir las tentaciones del capitalismo...sino que sostienen su deseo de tradición...,0,0,0.17,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.21,0,0
La gente que escribe comentarios aquí habla desde la ignorancia. Me metí a los comentarios para encontrar opiniones con sentido y respeto por otras culturas y lo único que encuentro son chistes sarcásticos y gente que no sabe nada de nada de ellos,0,0,0.17,0,0.2,0,0.18,0,0,0.19,0.14,0.17,0,0.35,0,0.26,0,0.21,0,0
Y como se enteraron del lugar? Alguien les tuvo de que decir.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi pregunta es como hacen para adquirir esos terrenos donde se establecen para vivir? Los compran? o son terrenos de nadie?,0,0,0,0.2,0.21,0,0,0,0,0,0.3,0,0,0.37,0,0.27,0,0.45,0,0
MEXICO ES PARTE DE NORTE AMERICA NO DE CENTRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los menonitas son protestantes ultraconservadores que no quieren tener nada que ver con el mundo moderno... 2:19 tienen unas Coca Colas en la mesa xDDD,0,0.16,0,0.21,0,0,0.19,0,0,0,0,0.18,0.17,0,0,0,0.16,0.22,0,0.28
compran los terrenos?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
que peligro para la biodiversidad que colonias de este tipo deforesten la amazonia,0,0,0,0,0.2,0.17,0.2,0.23,0,0.2,0.15,0.18,0.18,0.19,0.15,0.15,0.16,0.44,0.17,0.6
Que miedos 😨,0,0.27,0,0,0,0,0,0,0,0,0,0,0.29,0.27,0,0,0,0,0.24,0
ESO NO ES MALO VIVEN DE ACUERDO A LA PALABRA Dios.fuera del pecado del mundo y cultivando la tierra como lo manda Dios.,0.12,0.31,0,0,0,0.31,0.37,0,0.33,0.19,0.15,0,0.34,0.18,0,0,0.16,0.66,0.33,0
"NO VENGAS A PERU , AQUI TODO SE ESTA DIENDO ALA ..... LA CORRUPCIÓN SE CREO AQUI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pobre las mujeres hijos tras hijos deben de estar desgastadas de tantos hijos,0,0.17,0,0,0.2,0,0,0,0,0.2,0,0,0.18,0,0,0,0,0.22,0,0
Gente emprendedora y. trabajadora... Mis respetos !,0,0,0.22,0,0.27,0,0.24,0,0,0.25,0,0.23,0,0.24,0,0.17,0,0,0,0
el ataque de los menonitas,0,0,0,0,0,0,0.21,0,0,0,0,0.19,0.19,0,0.15,0,0,0,0.17,0.31
Convengamos que esto es lo que le gustaria a muchos ecologistas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
son listos saben que todo esto se ira al garete. y su decendencia seguira. que no venda mas selva PERU.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35:05 para los pques de la casa,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.18,0,0.13,0,0.21,0,0
LOS MENONITAS SON PARACITOS NO CONSUMEN NADA SOLO ENTRE ELLOS SE CASAN CONSUMEN LO OUE PRODUSEN NO SIRVEN,0,0,0.18,0.22,0.2,0,0.25,0.67,0.16,0,0,0,0,0,0.29,0,0,0.44,0,0
Por favor la segunda parte. Quiero saber como están!!!,0,0,0,0.24,0.25,0,0.22,0,0,0.23,0.17,0,0,0.22,0,0.16,0.19,0,0,0
No era el viaje de a pie ..........?????...y no en un avión. ...........moderno......,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el celular es del diablo por que se puede ver nopor en el,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locos ...que hacen en centro américa ...saquen esos locos de aqui....con esa paja se van a querer quedar con el istmo...,0,0.16,0.35,0.21,0.2,0.16,0.19,0,0,0,0.15,0,0,0.19,0.14,0,0,0,0,0
